XS YS
-64874040890.79871 -21017561787.515644
-64854082253.49018 -21114140267.87848
-64834035757.71549 -21210690074.82672
-64813901472.87328 -21307211091.394623
-64793679468.61439 -21403703200.833702
-64773369814.840965 -21500166286.61338
-64752972581.705574 -21596600232.42164
-64732487839.610275 -21693004922.165665
-64711915659.20574 -21789380239.972492
-64691256111.390335 -21885726070.189632
-64670509267.30917 -21982042297.385715
-64649675198.35325 -22078328806.35111
-64628753976.158516 -22174585482.09854
-64607745672.60495 -22270812209.86373
-64586650359.81564 -22367008875.105984
-64565468110.155876 -22463175363.508812
-64544198996.23221 -22559311560.980545
-64522843090.891556 -22655417353.654926
-64501400467.22025 -22751492627.891705
-64479871198.54312 -22847537270.27724
-64458255358.42256 -22943551167.625076
-64436553020.65761 -23039534206.976532
-64414764259.283 -23135486275.60128
-64392889148.56824 -23231407260.99793
-64370927763.01668 -23327297050.89458
-64348880177.36456 -23423155533.24941
-64326746466.58011 -23518982596.25121
-64304526705.86254 -23614778128.31997
-64282220970.64117 -23710542018.10741
-64259829336.57444 -23806274154.497543
-64237351879.54899 -23901974426.607212
-64214788675.6787 -23997642723.786633
-64192139801.30378 -24093278935.619923
-64169405332.98975 -24188882951.925644
-64146585347.52657 -24284454662.75732
-64123679921.92764 -24379993958.403957
-64100689133.42884 -24475500729.390575
-64077613059.487625 -24570974866.478714
-64054451777.78201 -24666416260.666927
-64031205366.20969 -24761824803.191315
-64007873902.886986 -24857200385.526
-63984457466.14798 -24952542899.38364
-63960956134.5435 -25047852236.715904
-63937369986.84018 -25143128289.713978
-63913699102.01948 -25238370950.809025
-63889943559.27675 -25333580112.672684
-63866103438.02024 -25428755668.21753
-63842178817.870155 -25523897510.597553
-63818169778.657684 -25619005533.20862
-63794076400.42403 -25714079629.68892
-63769898763.41944 -25809119693.91944
-63745636948.10225 -25904125620.02443
-63721291035.137886 -25999097302.371796
-63696861105.397934 -26094034635.57361
-63672347239.95914 -26188937514.48649
-63647749520.10245 -26283805834.212082
-63623068027.31202 -26378639490.09745
-63598302843.27428 -26473438377.73553
-63573454049.87691 -26568202392.96554
-63548521729.20792 -26662931431.873394
-63523505963.5546 -26757625390.792114
-63498406835.40265 -26852284166.302242
-63473224427.43508 -26946907655.232246
-63447958822.531334 -27041495754.658905
-63422610103.76626 -27136048361.907726
-63397178354.409134 -27230565374.553314
-63371663657.92271 -27325046690.419765
-63346066097.96219 -27419492207.58105
-63320385758.3743 -27513901824.361393
-63294622723.19626 -27608275439.33563
-63268777076.65483 -27702612951.329594
-63242848903.16533 -27796914259.42048
-63216838287.33064 -27891179262.937187
-63190745313.94024 -27985407861.460686
-63164570067.96919 -28079599954.82437
-63138312634.57719 -28173755443.11441
-63111973099.10755 -28267874226.670067
-63085551547.08627 -28361956206.08406
-63059048064.22099 -28456001282.202896
-63032462736.40005 -28550009356.12718
-63005795649.691444 -28643980329.211956
-62979046890.34193 -28737914103.06703
-62952216544.77596 -28831810579.55728
-62925304699.59476 -28925669660.802963
-62898311441.57526 -29019491249.180027
-62871236857.6692 -29113275247.320423
-62844081035.00208 -29207021558.112396
-62816844060.872215 -29300730084.700775
-62789526022.74971 -29394400730.487274
-62762127008.27551 -29488033399.130775
-62734647105.26038 -29581627994.547607
-62707086401.68396 -29675184420.91183
-62679444985.693726 -29768702582.6555
-62651722945.60405 -29862182384.468937
-62623920369.895195 -29955623731.30101
-62596037347.212326 -30049026528.359375
-62568073966.364525 -30142390681.110744
-62540030316.323814 -30235716095.28113
-62511906486.22415 -30329002676.85611
-62483702565.360466 -30422250332.08104
-62455418643.18766 -30515458967.461327
-62427054809.31963 -30608628489.762646
-62398611153.52828 -30701758806.01118
-62370087765.74252 -30794849823.49384
-62341484736.04732 -30887901449.758488
-62312802154.68266 -30980913592.61417
-62284040112.04265 -31073886160.13131
-62255198698.67442 -31166819060.641937
-62226278005.27726 -31259712202.739883
-62197278122.70152 -31352565495.280994
-62168199141.94773 -31445378847.383312
-62139041154.16555 -31538152168.427288
-62109804250.652824 -31630885368.05596
-62080488522.85457 -31723578356.175144
-62051094062.36202 -31816231042.953613
-62021620960.911644 -31908843338.82328
-61992069310.38415 -32001415154.479362
-61962439202.80351 -32093946400.88056
-61932730730.33601 -32186436989.249226
-61902943985.28922 -32278886831.071507
-61873079060.11106 -32371295838.097515
-61843136047.3888 -32463663922.341496
-61813115039.8481 -32555990996.081947
-61783016130.352005 -32648276971.861786
-61752839411.90001 -32740521762.488487
-61722584977.62705 -32832725281.034214
-61692252920.80256 -32924887440.835957
-61661843334.82945 -33017008155.495655
-61631356313.243195 -33109087338.880344
-61600791949.710815 -33201124905.122253
-61570150338.02993 -33293120768.618927
-61539431572.127785 -33385074844.033356
-61508635746.06027 -33476987046.29407
-61477762954.01097 -33568857290.59525
-61446813290.29018 -33660685492.396828
-61415786849.33394 -33752471567.424587
-61384683725.70307 -33844215431.67026
-61353504014.08223 -33935917001.391613
-61322247809.27892 -34027576193.112534
-61290915206.222534 -34119192923.623116
-61259506299.96339 -34210767109.97974
-61228021185.67178 -34302298669.505142
-61196459958.63701 -34393787519.78849
-61164822714.2664 -34485233578.685455
-61133109548.08441 -34576636764.31826
-61101320555.73159 -34667996995.07577
-61069455832.96369 -34759314189.6135
-61037515475.650665 -34850588266.85372
-61005499579.77575 -34941819145.98547
-60973408241.43448 -35033006746.46464
-60941241556.83376 -35124150988.01393
-60908999622.29091 -35215251790.622986
-60876682534.23269 -35306309074.54839
-60844290389.19439 -35397322760.31368
-60811823283.81887 -35488292768.70939
-60779281314.85559 -35579219020.793076
-60746664579.15968 -35670101437.88933
-60713973173.69103 -35760939941.58979
-60681207195.51329 -35851734453.75317
-60648366741.79296 -35942484896.50523
-60615451909.79846 -36033191192.238846
-60582462796.899155 -36123853263.613945
-60549399500.56446 -36214471033.55754
-60516262118.36287 -36305044425.26371
-60483050747.961044 -36395573362.19359
-60449765487.12287 -36486057768.07537
-60416406433.70852 -36576497566.904274
-60382973685.67353 -36666892682.94253
-60349467341.06787 -36757243040.719345
-60315887498.03503 -36847548565.03091
-60282234254.81104 -36937809180.94031
-60248507709.723625 -37028024813.77756
-60214707961.19122 -37118195389.13952
-60180835107.72207 -37208320832.889854
-60146889247.9133 -37298401071.15902
-60112870480.45001 -37388436030.344185
-60078778904.104355 -37478425637.1092
-60044614617.73461 -37568369818.38452
-60010377720.28428 -37658268501.36719
-59976068310.78116 -37748121613.52072
-59941686488.33645 -37837929082.57508
-59907232352.143845 -37927690836.526596
-59872706001.47859 -38017406803.63789
-59838107535.69662 -38107076912.43782
-59803437054.233604 -38196701091.72137
-59768694656.60411 -38286279270.54959
-59733880442.400635 -38375811378.24951
-59698994511.29274 -38465297344.41406
-59664036963.02614 -38554737098.90196
-59629007897.42182 -38644130571.83763
-59593907414.37512 -38733477693.61111
-59558735613.854866 -38822778394.87794
-59523492595.90245 -38912032606.55907
-59488178460.63095 -39001240259.84074
-59452793308.224266 -39090401286.17437
-59417337238.93618 -39179515617.276474
-59381810353.08954 -39268583185.12851
-59346212751.0753 -39357603921.97677
-59310544533.35172 -39446577760.332275
-59274805800.44342 -39535504632.970634
-59238996652.94052 -39624384472.93189
-59203117191.49778 -39713217213.52046
