XS YS
-32.34301314969799 -0.049264478824526794
-33.37572588440916 -0.09879536459751036
-34.424120682561636 -0.14985777412302984
-35.488193679911326 -0.20247480580330068
-36.5679409542641 -0.2566695451442225
-37.66335852553358 -0.3124650645655119
-38.7744423557997 -0.369884423211139
-39.901188349368155 -0.42895066676007376
-41.043592352830665 -0.48968682723734436
-42.201650155126046 -0.5521159228254136
-43.3753574876021 -0.6162609576758759
-44.564710024078366 -0.6821449217214812
-45.76970338090964 -0.7497907904884876
-46.990333117050355 -0.8192215249093485
-48.22659473411977 -0.890460071135738
-49.47848367646795 -0.9635293603519184
-50.74599533124256 -1.0384523085884547
-52.0291250284565 -1.1152518165362795
-53.32786804105631 -1.1939507693611118
-54.64221958499141 -1.274572036518236
-55.97217481928411 -1.3571384715676431
-57.31772884610046 -1.4416729119895384
-58.67887671082183 -1.5281981790002204
-60.05561340211739 -1.6167370773683354
-61.44793385201728 -1.70731239523151
-62.855832935986626 -1.7999469039133669
-64.27930547300033 -1.8946633577409286
-65.71834622561866 -1.9914844938624106
-67.17294990006357 -2.0904330320654094
-68.64311114629591 -2.191531674595491
-70.12882455809327 -2.2948031059751797
-71.63008467312874 -2.4002699928233553
-73.14688597305033 -2.50795498367506
-74.67922288356121 -2.6178807088017173
-76.22708977450074 -2.7300697800317746
-77.79048095992623 -2.844544790571761
-79.36939069819547 -2.961328314827775
-80.96381319205004 -3.080442908227401
-82.5737425886993 -3.2019111070420565
-84.1991729799053 -3.32575542820978
-85.84009840206821 -3.4519983691584573
-87.49651283631272 -3.58066240762949
-89.16841020857505 -3.7117700015019173
-90.85578438969075 -3.845343588616984
-92.55862919548323 -3.9814055866031683
-94.27693838685303 -4.119978392701663
-96.01070566986783 -4.261084383592326
-97.7599246958532 -4.404745915220092
-99.52458906148402 -4.550985322621852
-101.30469230887671 -4.699824919753813
-103.10022792568215 -4.851286999319329
-104.91118934517927 -5.005393832597211
-106.73756994636945 -5.162167669270528
-108.57936305407156 -5.321630737255882
-110.43656193901774 -5.4838052425331885
-112.30915981794985 -5.64871336897594
-114.19714985371672 -5.816377278181973
-116.100525155372 -5.986819109304727
-118.01927877827272 -6.160060978885021
-119.95340372417864 -6.336124980683325
-121.90289294135216 -6.515033185512547
-123.86773932465903 -6.696807641071338
-125.84793571566964 -6.8814703717779
-127.84347490276112 -7.069043378604334
-129.85434962122 -7.259548638911496
-131.8805525533456 -7.4530081062843845
-133.9220763285541 -7.649443710368062
-135.97891352348333 -7.8488773567041035
-138.05105666209798 -8.051330926567582
-140.13849821579586 -8.2568262768046
-142.2412306035145 -8.465385239670354
-144.35924619183857 -8.677029622667748
-146.49253729510784 -8.891781208386554
-148.64109617552595 -9.109661754343133
-150.80491504326963 -9.330692992820696
-152.98398605659872 -9.55489663071013
-155.17830132196679 -9.78229434935139
-157.3878528941323 -10.012907804375436
-159.61263277627046 -10.246758625546756
-161.8526329200859 -10.483868416606446
-164.10784522592562 -10.72425875511587
-166.37826154289266 -10.967951192300879
-168.66387366896075 -11.214967252896631
-170.96467335108898 -11.46532843499297
-173.2806522853376 -11.719056209880392
-175.6118021169841 -11.976172021896616
-177.95811444064003 -12.236697288273708
-180.3195808003684 -12.500653398985829
-182.69619268980176 -12.768061716597556
-185.08794155226053 -13.03894357611281
-187.4948187808725 -13.313320284824378
-189.91681571869236 -13.591213122164035
-192.35392365882217 -13.872643339553274
-194.80613384453218 -14.157632160254638
-197.27343746938243 -14.446200779223666
-199.75582567734472 -14.738370362961447
-202.2532895629253 -15.034162049367787
-204.76582017128803 -15.33359694759499
-207.29340849837817 -15.636696137902268
-209.83604549104675 -15.94348067151076
-212.39372204717523 -16.253971570459186
-214.96642901580114 -16.568189827460106
-217.5541571972439 -16.886156405756836
-220.15689734323144 -17.207892238980964
-222.77464015702705 -17.533418231010533
-225.40737629355706 -17.862755255828816
-228.055096359539 -18.195924157383764
-230.7177909136101 -18.532945749448086
-233.39545046645648 -18.87384081547994
-236.08806548094287 -19.218630108484323
-238.79562637224268 -19.567334350875043
-241.5181235079687 -19.919974234337392
-244.25554720830445 -20.276570419691435
-247.00788774613565 -20.637143536755964
-249.77513534718256 -21.001714184213107
-252.5572801901326 -21.370302929473578
-255.35431240677352 -21.742930308542604
-258.16622208212715 -22.119616825886503
-260.9929992545835 -22.50038295429991
-263.8346339160353 -22.885249134773687
-266.6911160120132 -23.27423577636349
-269.5624354418214 -23.66736325605899
-272.4485820586735 -24.06465191865379
-275.34954566982907 -24.466122076615978
-278.2653160367307 -24.871794009959384
-281.1958828751415 -25.281687966115484
-284.1412358552825 -25.695824159806
-287.10136460197157 -26.11422277291616
-290.0762586947617 -26.536903954368654
-293.06590766808046 -26.96388781999825
-296.07030101136957 -27.395194452427102
-299.0894281692249 -27.830843900940753
-302.12327854153705 -28.270856181364802
-305.1718414836321 -28.715251275942265
-308.2351063064131 -29.164049133211627
-311.31306227650185 -29.617269667885576
-314.4056986163808 -30.07493276073044
-317.51300450453584 -30.537058258446308
-320.6349690755992 -31.003665973547832
-323.7715814204929 -31.47477568424575
-326.9228305865722 -31.95040713432908
-330.08870557777016 -32.430580033048024
-333.26919535474184 -32.91531405499758
-336.4642888350094 -33.40462884000182
-339.67397489310736 -33.89854399299891
-342.89824236072826 -34.397079083926805
-346.1370800268686 -34.90025364760965
-349.39047663797544 -35.408087183644895
-352.658420898093 -35.92059915629112
-355.94090146900993 -36.43780899435653
-359.2379069704066 -36.95973609108821
-362.54942598000304 -37.48639980406206
-365.8754470337072 -38.017819455073436
-369.2159586257633 -38.554014330028494
-372.5709492089008 -39.0950036788363
-375.9404071944835 -39.64080671530155
-379.32432095265915 -40.19144261701814
-382.72267881250923 -40.74693052526331
-386.13546906219904 -41.307289544892605
-389.5626799491284 -41.8725387442355
-393.0042996800822 -42.442697154991755
-396.4603164213817 -43.01778377212852
-399.9307182990358 -43.597817553778064
-403.4154933988928 -44.18281742113636
-406.9146297667924 -44.77280225836226
-410.42811540871804 -45.36779091247746
-413.95593829094935 -45.96780219326718
-417.4980863402152 -46.57285487318156
-421.0545474438468 -47.18296768723776
-424.6253094499309 -47.79815933292281
-428.21036016746393 -48.41844847009714
-431.80968736650556 -49.043853720898916
-435.42327877833316 -49.674393669649014
-439.05112209559627 -50.31008686275676
-442.6932049724711 -50.950951808626385
-446.34951502481596 -51.5970069775642
-450.0200398303262 -52.248270801686516
-453.7047669286898 -52.90476167482829
-457.40368382174313 -53.56649795245248
-461.1167779736267 -54.2334979515601
-464.84403681094165 -54.905779950601094
-468.58544772290617 -55.58336218938582
-472.34099806151187 -56.266262868997366
-476.1106751416808 -56.95450015170454
-479.8944662414228 -57.64809216087557
-483.6923586019923 -58.34705698089259
-487.5043394280462 -59.0514126570668
-491.3303958878015 -59.761177195554396
-495.17051511319306 -60.476368563273205
-499.0246842000319 -61.19700468782005
-502.8928902081634 -61.92310345738883
-506.77512016162575 -62.654682720689394
-510.6713610488087 -63.39176028686706
-514.5815998226124 -64.1343539254229
-518.5058234006062 -64.88248136613477
-522.4440186651884 -65.63616029897902
-526.3961724637448 -66.39540837405302
-530.3622716088091 -67.16024320149829
-534.3423028782219 -67.93068235142448
-538.3362530152907 -68.706743353834
-542.3441087289503 -69.48844369854741
-546.3658566939225 -70.27580083512953
-550.4014835508765 -71.06883217281627
-554.4509759065893 -71.86755508044222
-558.5143203341064 -72.6719868863689
-562.5915033729024 -73.4821448784138
-566.6825115290416 -74.29804630378017
-570.7873312753395 -75.1197083689874
-574.9059490515234 -75.94714823980233
-579.0383512643938 -76.78038304117105
-583.1845242879854 -77.61942985715162
-587.344454463729 -78.46430573084746
-591.5181281006127 -79.31502766434139
-595.7055314753434 -80.17161261863049
-599.9066508325088 -81.03407751356163
-604.1214723847391 -81.9024392277677
-608.349982312869 -82.77671459860468
-612.592166766099 -83.65692042208929
-616.8480118621588 -84.54307345283739
-621.1175036874682 -85.43519040400321
-625.4006282972999 -86.33328794721918
-629.6973717159417 -87.2373827125365
-634.0077199368588 -88.14749128836647
-638.3316589228564 -89.06363022142251
-642.6691746062417 -89.98581601666292
-647.0202528889871 -90.9140651372343
-651.3848796428925 -91.84839400441575
-655.7630407097478 -92.78881899756375
-660.1547219014956 -93.73535645405775
-664.5599090003942 -94.68802266924652
-668.9785877591801 -95.64683389639518
-673.410743901231 -96.61180634663287
